occurs_at,headline_initial,sub_category_name
14 03 2017,SALONS CE ZOOPARC DE BEAUVALSaint-Aignan -- Salon des comités d'entreprises et des collectivités,Entreprises
14 03 2017,SALONS CE LILLELille -- Salon des comités d'entreprises et des collectivités,Entreprises
14 03 2017,"INTERSOLLyon -- Congrès international sur l’analyse, les méthodologies de traitement et la réhabilitation des sols et eaux souterraines pollués",Entreprises
14 03 2017,INTRALOGISTICS EUROPEParis -- Salon des équipements de manutention pour l'industrie et la distribution,Entreprises
14 03 2017,JEC WORLDParis -- Salon mondial des composites,Entreprises
14 03 2017,"SITL SOLUTIONS LOGISTIQUESParis -- Semaine internationale du transport et de la logistique. Elle offre aux acteurs internationaux du transport de marchandises et des services logistiques l’ensemble des produits et services innovants à l’approvisionnement, la distribution, la supply chain",Entreprises
14 03 2017,"MIPIMCannes -- Salon international des professionnels de l'immobilier. Le MIPIM réunit les acteurs les plus influents de tous les secteurs de l’immobilier professionnel – bureaux, résidentiel, commerces, santé, sport, logistique",Entreprises
15 03 2017,"ANALYSE INDUSTRIELLEParis -- Salon de l'analyse industrielle des process, des rejets gazeux, des gaz et de l'eau",Entreprises
15 03 2017,PARIZZAParis -- Le rendez-vous des professionnels du snacking et de la restauration à l'italienne,Entreprises
15 03 2017,SANDWICH & SNACK SHOWParis -- Le rendez-vous leader sur le marché du snacking et de la consommation nomade,Entreprises
