occurs_at;headline;headline_initial;sub_category_id;Rating;source;valid;description;sub_category_name;month;source_url
25/02/2017;Tournoi des six Nations, Irlande - France;25 février, Irlande - France;37;4;Le Parisien;;;Rugby;2;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
25/02/2017;Fête nationale du Koweït;;45;2;Wikipedia;;;Fêtes étrangères;2;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-108
27/02/2017;Fête nationale de la République dominicaine;;45;2;Wikipedia;;;Fêtes étrangères;2;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-59
27/02/2017;Tournoi masculin d'Acapulco - ATP 500;Tournoi masculin de  Abierto Mexicano Telcel, Acapulco - ATP 500;39;2;Wikipedia;;;Tennis;2;Tournoi de Abierto Mexicano Telcel, Acapulco sur Dur (ext.)d'une dotation de 1 491 310 $
27/02/2017;Tournoi masculin de Dubai - ATP 500;Tournoi masculin de  Dubai Duty Free Tennis Championships, Dubaï - ATP 500;39;2;Wikipedia;;;Tennis;2;Tournoi de Dubai Duty Free Tennis Championships, Dubaï sur Dur (ext.)d'une dotation de 2 429 150 $
27/02/2017;Tournoi masculin de São Paulo - ATP 250;Tournoi masculin de  Brasil Open, São Paulo - ATP 250;39;2;Wikipedia;;;Tennis;2;Tournoi de Brasil Open, São Paulo sur Terre (ext.)d'une dotation de 455 565 $
27/02/2017;Tournoi féminin d'Acapulco;Tournoi féminin de  Abierto Mexicano TELCEL, Acapulco;39;1;Wikipedia;;;Tennis;2;Tournoi féminin de Intern'l surDur (ext.)avec une dotation de 226 750$
27/02/2017;Tournoi féminin de Kuala Lumpur;Tournoi féminin de  Alya Malaysian Open, Kuala Lumpur;39;1;Wikipedia;;;Tennis;2;Tournoi féminin de Intern'l surDur (ext.)avec une dotation de 226 750$
01/03/2017;Journée « Zéro discrimination »;Journée « Zéro discrimination » [ONUSIDA];26;4;ONU;;;Justice;3;
01/03/2017;Début de la période de carème (fête chrétienne);;46;5;Kaendrier.com;;;Jours spéciaux;3;https://www.kalendrier.com/fetes-chretiennes.html
03/03/2017;Journée mondiale de la vie sauvage;Journée mondiale de la vie sauvage (A/RES/68/205);21;3;ONU;;;Diversité;3;
03/03/2017;Championnats d'Europe en salle (Serb.);3 au 5 mars, Champ. Europe en salle (Serb.);31;3;Le Parisien;;;Athlétisme;3;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
