occurs_at;headline;headline_initial;sub_category_id;rating;source;valid;description;sub_category_name;month;source_url
25/05/2017;Début des festivités Bordeaux fête le fleuve.;25/05-04/06 ▸ Bordeaux fête le fleuve |;0;4;Atout France;;;Culture;5;PDF
26/05/2017;Première demi-finale du championnat de France à Marseille;26 et 27 mai, Demi-finales à Marseille;37;3;Le Parisien;;;Rugby;5;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
26/05/2017;26 mai, Début des qualifications de la Coupe de l'América aux Bermudes;26 mai, Débuts des qualifications;40;5;Le Parisien;;;Voile;5;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
26/05/2017;Fête nationale de la Géorgie (fête de l'indépendance).;Fête de l'indépendance.;45;2;Wikipedia;;;Fêtes étrangères;5;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-75
27/05/2017;Seconde demi-finale du championnat de France à Marseille;26 et 27 mai, Demi-finales à Marseille;37;3;Le Parisien;;;Rugby;5;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
27/05/2017;Finale de la Coupe de France de handball;27 mai, Finale de la Coupe de France;0;2;Le Parisien;;;Sport;5;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
27/05/2017;Finale de la Coupe de France au Stade de France;Finale (Stade de France) 27 mai;35;5;Le Parisien;;;Football;5;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
27/05/2017;Début du Ramadan (fête musulmane);;46;5;Kaendrier.com;;;Jours spéciaux;5;https://www.kalendrier.com/fetes-musulmanes.html
28/05/2017;Début de Roland-Garros, deuxième tournoi du Grand Chelem;28 mai au 11 juin, Roland-Garros;39;5;Le Parisien;;;Tennis;5;http://www.leparisien.fr/sports/calendrier-sportif-02-01-2017-6514680.php
28/05/2017;Fête nationale de l'Azerbaïdjan (indépendance de la Russie en 1918).;Indépendance de la Russie en 1918.;45;2;Wikipedia;;;Fêtes étrangères;5;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-16
28/05/2017;Fête nationale de l'Éthiopie (jour de la chute du Derg en 1991).;Jour de la chute du Derg en 1991.;45;2;Wikipedia;;;Fêtes étrangères;5;https://fr.wikipedia.org/wiki/Liste_de_f%C3%AAtes_nationales#cite_note-ONU-69
28/05/2017;Marathon de la Baie du Mont Saint-Michel.;28-29▸Marathon de la Baie du Mont Saint-Michel |;31;4;Atout France;;;Athlétisme;5;PDF
28/05/2017;Fête des Mères.;;46;5;Kaendrier.com;;;Jours spéciaux;5;https://www.kalendrier.com/fetes-civiles.html
29/05/2017;Journée internationale des Casques bleus des Nations Unies;Journée internationale des Casques bleus des Nations Unies (A/RES/57/129);25;3;ONU;;;International;5;
31/05/2017;Journée mondiale sans tabac;Journée mondiale sans tabac [OMS] (Résolution 42.19 de la 42ème session de l'OMS);29;4;ONU;;;Santé;5;
31/05/2017;Début de la Feria de Pentecôte à Nîmes.;31/05-05/06 ▸ Feria de Pentecôte, Nîmes;0;4;Atout France;;;Culture;5;PDF
31/05/2017;Fête juive de Chavouot;;46;1;Kaendrier.com;;;Jours spéciaux;5;https://www.kalendrier.com/fetes-juives.html
01/06/2017;Journée mondiale des parents;Journée mondiale des parents (A/RES/66/292);21;3;ONU;;;Diversité;6;
